Key,Source,Context,Changes,English,Spanish
ATFudgeDesc,items,Food,New,Sugary fudge that melts in the mouth and rots away the teeth. You didn't need those molars anyway,Dulce de azúcar que se disuelve en tu boca y pudre tus dientes. De todas maneras te esos molares ya no los necesitas

ATPopcornDesc,items,Food,New,Popped corn - the movie-goers favourite. A basic snack between meals, Palomitas de maíz - Favorito de los peliculeros. Un snack básico entre comidas

ATRockCandyDesc,items,Food,New,Unflavoured candy made mostly from sugar. Will give you quite the sugar rush,Caramelo sin sabor hecho mayormente con azúcar. Te dara un buen subidón de azúcar

ATRockCandyBlueberryDesc,items,Food,New,Blueberry flavoured rock candy that tastes good and will give you a sugar rush,

ATRockCandySnowberryDesc,items,Food,New,Snowberry infused rock candy that will help with digestion and give you a sugar rush,Sinforcarpio con infusión de caramelo de roca que te ayudarña a con la digestión y te da un subidón de azúcar.

ATSpongeCakeDesc,items,Food,New,Dense sponge cake with sugar icing atop it.,Tarta esponjosa densa con glaseado de azúcar encima.

ATSugarExtractDesc,items,Food,New,You'd have to be pretty desperate to eat raw sugar. Used in soda, candies and cakes,Tienes que sentirte muy desesperado para comer azúcar en bruto. Usado en soda, caramelos y tartas.

ATSnowberryGinDrunkDesc,buffs,Buff,New,A strong taste. You are feeling destructive.,Un sabor fuerte. Te sientes destructivo.
ATVodkaDrunkDesc,buffs,Buff,New,That stuff burns. You feel more talkative,Esa cosa arde. Te sientes más elocuente.

ATSugarRushDesc,buffs,Buff,New,A slight rush from the amount of sugar you just ate. This allows you to slightly run faster,Un pequeño subidón de un montón de azúcar que te has comido, Esto te permite correr ligeramente más rápido
ATSugarRushName,buffs,Buff,New,Sugar Rush,Subidón de azúcar
ATSugarRushTooltip,buffs,Buff,New,That was a lot of sugar.,Eso era muchísimo azúcar.

ATEnergyTabletDesc,buffs,Buff,New,You can run faster. reload slightly quicker and become less exhausted.,Puedes correr más rápido. Recargar ligeramente rápido y agotarte menos.
ATEnergyTabletName,buffs,Buff,New,Energy Rush,Subidón de energía
ATEnergyTabletTooltip,buffs,Buff,New,What a rush!,¡Qué subidón!

ATColdDrinkName,buffs,Buff,New,Cold Drink,Bebida Fría
ATColdDrinkDesc,buffs,Buff,New,Iced drinks help you survive better in hot environments.,Bebida helada que te ayuda a sobrevivir en ambientes cálidos.
